"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STOCKFPOP","TOT","NBR","A","1995",4164100,
"AUS","STOCKFPOP","TOT","NBR","A","1996",4258637,
"AUS","STOCKFPOP","TOT","NBR","A","1997",4314453,
"AUS","STOCKFPOP","TOT","NBR","A","1998",4332141,
"AUS","STOCKFPOP","TOT","NBR","A","1999",4369450,
"AUS","STOCKFPOP","TOT","NBR","A","2000",4412170,
"AUS","STOCKFPOP","TOT","NBR","A","2001",4482120,
"AUS","STOCKFPOP","TOT","NBR","A","2002",4534510,
"AUS","STOCKFPOP","TOT","NBR","A","2003",4655610,
"AUS","STOCKFPOP","TOT","NBR","A","2004",4752950,
"AUS","STOCKFPOP","TOT","NBR","A","2005",4877090,
"AUS","STOCKFPOP","TOT","NBR","A","2006",5031630,
"AUS","STOCKFPOP","TOT","NBR","A","2007",5233250,
"AUS","STOCKFPOP","TOT","NBR","A","2008",5477900,
"AUS","STOCKFPOP","TOT","NBR","A","2009",5729880,
"AUS","STOCKFPOP","TOT","NBR","A","2010",5881360,
"AUS","STOCKFPOP","TOT","NBR","A","2011",6018180,
"AUS","STOCKFPOP","TOT","NBR","A","2012",6214010,
"AUS","STOCKFPOP","TOT","NBR","A","2013",6408740,
"AUS","STOCKFPOP","TOT","NBR","A","2014",6570240,
"AUS","STOCKFPOP","TOT","NBR","A","2015",6729730,
"AUS","STOCKFPOP","TOT","NBR","A","2016",6912110,
"AUS","STOCKFPOP","TOT","NBR","A","2017",7139440,
"AUS","STOCKFPOP","TOT","NBR","A","2018",7333420,
"AUS","STOCKFPOP","TOT","NBR","A","2019",7533010,
"AUS","STOCKFPOP","TOT","NBR","A","2020",7653180,
"AUT","STOCKFPOP","TOT","NBR","A","1999",895700,
"AUT","STOCKFPOP","TOT","NBR","A","2000",872000,
"AUT","STOCKFPOP","TOT","NBR","A","2001",843000,
"AUT","STOCKFPOP","TOT","NBR","A","2002",1112094,
"AUT","STOCKFPOP","TOT","NBR","A","2003",1137351,
"AUT","STOCKFPOP","TOT","NBR","A","2004",1141212,
"AUT","STOCKFPOP","TOT","NBR","A","2005",1154776,
"AUT","STOCKFPOP","TOT","NBR","A","2006",1195156,
"AUT","STOCKFPOP","TOT","NBR","A","2007",1215695,
"AUT","STOCKFPOP","TOT","NBR","A","2008",1235678,
"AUT","STOCKFPOP","TOT","NBR","A","2009",1260277,
"AUT","STOCKFPOP","TOT","NBR","A","2010",1275487,
"AUT","STOCKFPOP","TOT","NBR","A","2011",1294706,
"AUT","STOCKFPOP","TOT","NBR","A","2012",1323083,
"AUT","STOCKFPOP","TOT","NBR","A","2013",1364771,
"AUT","STOCKFPOP","TOT","NBR","A","2014",1414624,
"AUT","STOCKFPOP","TOT","NBR","A","2015",1484595,
"AUT","STOCKFPOP","TOT","NBR","A","2016",1594723,
"AUT","STOCKFPOP","TOT","NBR","A","2017",1656266,
"AUT","STOCKFPOP","TOT","NBR","A","2018",1697123,
"AUT","STOCKFPOP","TOT","NBR","A","2019",1728554,
"AUT","STOCKFPOP","TOT","NBR","A","2020",1765311,
"BEL","STOCKFPOP","TOT","NBR","A","1995",1002286,
"BEL","STOCKFPOP","TOT","NBR","A","1996",1005418,
"BEL","STOCKFPOP","TOT","NBR","A","1997",1020763,
"BEL","STOCKFPOP","TOT","NBR","A","1998",1032361,
"BEL","STOCKFPOP","TOT","NBR","A","1999",1046107,
"BEL","STOCKFPOP","TOT","NBR","A","2000",1064214,
"BEL","STOCKFPOP","TOT","NBR","A","2001",1080790,
"BEL","STOCKFPOP","TOT","NBR","A","2002",1117261,
"BEL","STOCKFPOP","TOT","NBR","A","2003",1156732,
"BEL","STOCKFPOP","TOT","NBR","A","2004",1185456,
"BEL","STOCKFPOP","TOT","NBR","A","2005",1220062,
"BEL","STOCKFPOP","TOT","NBR","A","2006",1268915,
"BEL","STOCKFPOP","TOT","NBR","A","2007",1319302,
"BEL","STOCKFPOP","TOT","NBR","A","2008",1380323,
"BEL","STOCKFPOP","TOT","NBR","A","2009",1443937,
"BEL","STOCKFPOP","TOT","NBR","A","2010",1503806,
"BEL","STOCKFPOP","TOT","NBR","A","2011",1628793,
"BEL","STOCKFPOP","TOT","NBR","A","2012",1643614,
"BEL","STOCKFPOP","TOT","NBR","A","2013",1748331,
"BEL","STOCKFPOP","TOT","NBR","A","2014",1775561,
"BEL","STOCKFPOP","TOT","NBR","A","2015",1786080,
